ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-4.505721926689147949e-01,3.612726926803588867e-01,6.152542829513549805e-01,-4.073685407638549805e-01,-3.683640658855438232e-01,-2.754600644111633301e-01,7.889743447303771973e-01,2.895211935043334961e+00,3.998297452926635742e-01,2.670588731765747070e+00,1.639601111412048340e+00,6.684923171997070312e-01,9.184926748275756836e-01,2.918814867734909058e-02
1.250809729099273682e-01,4.817581176757812500e-01,8.852342963218688965e-01,1.404730230569839478e-01,8.643493652343750000e-01,4.314229488372802734e-01,2.168913483619689941e-01,1.961636900901794434e+00,2.005255669355392456e-01,2.357080221176147461e+00,1.020621538162231445e+00,-1.502849161624908447e-01,-1.008696079254150391e+00,-1.544024586677551270e+00
3.530540466308593750e-01,4.492678344249725342e-01,8.834496736526489258e-01,1.309334635734558105e-01,-6.704503893852233887e-01,-4.048478305339813232e-01,6.078247427940368652e-01,8.168993592262268066e-01,1.113437771797180176e+00,1.263956278562545776e-01,5.309226512908935547e-01,-1.337565660476684570e+00,-1.769833683967590332e+00,-1.308912277221679688e+00
5.457583442330360413e-02,-1.427731849253177643e-02,9.979326128959655762e-01,4.025158882141113281e-01,1.748806685209274292e-01,-7.328978776931762695e-01,5.198638439178466797e-01,-1.354669809341430664e+00,-7.551988363265991211e-01,2.382680773735046387e-01,-1.514775276184082031e+00,-1.594726443290710449e+00,8.124151229858398438e-01,1.260942816734313965e+00
1.897977590560913086e-01,3.825699537992477417e-02,1.220813870429992676e+00,1.046657841652631760e-02,2.109153270721435547e-01,-7.090290188789367676e-01,6.728172898292541504e-01,-2.585917949676513672e+00,-3.870468735694885254e-01,2.528595924377441406e-01,-3.528040647506713867e-01,-1.739679694175720215e+00,-3.345020711421966553e-01,2.473017692565917969e+00
5.792000889778137207e-01,-5.031167715787887573e-02,6.199189424514770508e-01,7.544697523117065430e-01,5.387762933969497681e-02,-5.350386500358581543e-01,3.763060569763183594e-01,4.989372789859771729e-01,8.190047740936279297e-01,2.116890430450439453e+00,1.112519979476928711e+00,-7.098332643508911133e-01,-2.069697618484497070e+00,-9.055539965629577637e-01
7.790927775204181671e-04,8.562681674957275391e-01,5.896520614624023438e-01,-5.095430612564086914e-01,5.353602766990661621e-02,1.156709622591733932e-02,8.587001562118530273e-01,1.504151582717895508e+00,1.480519413948059082e+00,2.690709590911865234e+00,-3.392028808593750000e-01,1.468787431716918945e+00,1.932385712862014771e-01,6.307342052459716797e-01
-1.893447488546371460e-01,7.188472896814346313e-02,7.775459289550781250e-01,-4.768091738224029541e-01,-5.182139873504638672e-01,7.026750445365905762e-01,1.017595306038856506e-01,-1.658356666564941406e+00,-1.175283908843994141e+00,-3.807569742202758789e-01,-1.972816228866577148e+00,-9.724268317222595215e-01,7.503877878189086914e-01,-5.844962000846862793e-01
1.374264210462570190e-01,-7.570983469486236572e-02,1.218397140502929688e+00,1.329879648983478546e-02,-9.735069237649440765e-03,-1.808454245328903198e-01,9.833734631538391113e-01,-1.987664461135864258e+00,-1.365958303213119507e-01,-2.209701061248779297e+00,5.121088027954101562e-01,-2.807037353515625000e+00,-4.439269304275512695e-01,3.933482468128204346e-01
-4.645186662673950195e-01,-5.483260750770568848e-02,1.112709522247314453e+00,-2.941043078899383545e-01,2.194202691316604614e-01,9.275408387184143066e-01,7.089030742645263672e-02,-2.806232929229736328e+00,5.979483723640441895e-01,-2.161802768707275391e+00,-1.604371815919876099e-01,-2.668664693832397461e+00,-5.064085721969604492e-01,-1.761367201805114746e+00
