ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
-0.429997,0.052034,0.814003,-0.724060,-0.235672,0.025616,0.647719,-1.145356,-0.605154,-1.204934,-1.400590,-2.128965,1.967427,-0.581986,-1.116317,-0.607993,-1.213454,-1.439564,-2.107450,1.924850,-0.548706
-0.428120,0.031537,0.821855,-0.712914,-0.258004,-0.006798,0.652029,-1.116317,-0.607993,-1.213454,-1.439564,-2.107450,1.924850,-0.548706,-1.062053,-0.589667,-1.227767,-1.416865,-2.122883,1.971628,-0.640277
-0.466751,0.111449,0.794001,-0.753123,-0.283552,-0.056733,0.590919,-1.062053,-0.589667,-1.227767,-1.416865,-2.122883,1.971628,-0.640277,-1.078833,-0.689207,-1.302520,-1.348672,-2.078124,1.935654,-0.715402
-0.429576,0.168885,0.819857,-0.773849,-0.254247,-0.072717,0.575524,-1.078833,-0.689207,-1.302520,-1.348672,-2.078124,1.935654,-0.715402,-1.227059,-0.716382,-1.181499,-1.326928,-2.106103,1.958908,-0.793450
-0.423538,0.185059,0.827446,-0.789236,-0.244192,-0.095082,0.555371,-1.227059,-0.716382,-1.181499,-1.326928,-2.106103,1.958908,-0.793450,-1.241926,-0.711408,-1.185804,-1.287388,-2.088871,1.992324,-0.827868
-0.427998,0.127464,0.825943,-0.769885,-0.254974,-0.082488,0.579190,-1.241926,-0.711408,-1.185804,-1.287388,-2.088871,1.992324,-0.827868,-1.197035,-0.629961,-1.234312,-1.331773,-2.022081,1.982757,-0.757677
-0.414623,0.103858,0.844581,-0.760878,-0.279261,-0.086285,0.579338,-1.197035,-0.629961,-1.234312,-1.331773,-2.022081,1.982757,-0.757677,-1.219162,-0.557209,-1.227737,-1.318861,-1.943845,1.964668,-0.804733
-0.412716,0.132287,0.845317,-0.759088,-0.264254,-0.178632,0.567491,-1.219162,-0.557209,-1.227737,-1.318861,-1.943845,1.964668,-0.804733,-1.241590,-0.534592,-1.306025,-1.286988,-1.970784,2.022059,-0.924446
-0.422739,0.201175,0.817525,-0.783087,-0.254681,-0.203998,0.529431,-1.241590,-0.534592,-1.306025,-1.286988,-1.970784,2.022059,-0.924446,-1.280918,-0.618916,-1.347337,-1.274604,-1.979745,2.009390,-0.932406
-0.424345,0.217456,0.815062,0.810051,0.255385,0.182789,-0.495160,-1.280918,-0.618916,-1.347337,-1.274604,-1.979745,2.009390,-0.932406,-1.270749,-0.669343,-1.311994,-1.241471,-1.960493,2.037217,-0.917585
-0.452121,0.170189,0.805653,-0.762788,-0.322274,-0.164802,0.535849,-1.270749,-0.669343,-1.311994,-1.241471,-1.960493,2.037217,-0.917585,-1.168995,-0.673697,-1.327348,-1.279147,-2.012107,1.974993,-0.962025
-0.446931,0.152840,0.798312,-0.759683,-0.340265,-0.181773,0.523508,-1.168995,-0.673697,-1.327348,-1.279147,-2.012107,1.974993,-0.962025,-1.172529,-0.656983,-1.324791,-1.317424,-1.967097,2.011964,-0.970007
-0.436194,0.135598,0.789392,-0.731446,-0.361190,-0.215921,0.536569,-1.172529,-0.656983,-1.324791,-1.317424,-1.967097,2.011964,-0.970007,-1.205175,-0.629561,-1.315393,-1.389830,-1.970496,2.025065,-1.014992
